map_10dl_1min_no_rs, map_10dl_1min_yes_rs, map_10dl_2min_no_rs, map_15dl_1min_no_rs, map_15dl_2min_no_rs, map_15dl_2min_yes_rs, map_20dl_1min_no_rs, map_20dl_2min_no_rs, map_20dl_2min_yes_rs, map_20dl_3min_no_rs, map_20dl_3min_yes_rs
1.044958211658548066e+02,1.044943648861892598e+02,1.044956639545988537e+02,1.044944606591137273e+02,1.044948478067170043e+02,1.044955766510128399e+02,1.044948591869849821e+02,1.044941093829817049e+02,1.044946174415325260e+02,1.044942447924733955e+02,1.044934834860982136e+02
1.043490505896810134e+02,1.043476208138288825e+02,1.043489941779025543e+02,1.043470421040443910e+02,1.043476071468048332e+02,1.043487551846360049e+02,1.043482877724640900e+02,1.043468880268895163e+02,1.043476041276907011e+02,1.043476442951444199e+02,1.043464583252629865e+02
1.041673149916587420e+02,1.041664137853214527e+02,1.041670435532275008e+02,1.041652534222067032e+02,1.041661818503688437e+02,1.041670073529692218e+02,1.041669961132815274e+02,1.041653724017447757e+02,1.041656872065342014e+02,1.041666299288986437e+02,1.041655644045442273e+02
1.041531700222296024e+02,1.041531343238920044e+02,1.041522020396486994e+02,1.041515016242971114e+02,1.041530375749649977e+02,1.041530657292846627e+02,1.041531243839892085e+02,1.041524282207432464e+02,1.041519640001100413e+02,1.041533137889106655e+02,1.041520695440049167e+02
1.043051732740984221e+02,1.043059967295972967e+02,1.043038068220949697e+02,1.043049414695022250e+02,1.043060205777703118e+02,1.043056029614122053e+02,1.043053575478971027e+02,1.043063392354558943e+02,1.043051615261427543e+02,1.043060916584868494e+02,1.043047117811904911e+02
1.044281347487353599e+02,1.044292851758925309e+02,1.044265850786722325e+02,1.044294052697979680e+02,1.044290540590353515e+02,1.044289315058763492e+02,1.044284605789569156e+02,1.044305117848012969e+02,1.044287056221673566e+02,1.044292853720761087e+02,1.044280979601697226e+02
1.044024450612113100e+02,1.044036661112431119e+02,1.044013625254708444e+02,1.044047115076405134e+02,1.044032537825291058e+02,1.044034202659747166e+02,1.044031605231898681e+02,1.044050398500473307e+02,1.044028921865140376e+02,1.044034571752023481e+02,1.044026872654874438e+02
1.043433267480431823e+02,1.043442491042348905e+02,1.043435014694893681e+02,1.043455576167110621e+02,1.043446215351426076e+02,1.043444123775888528e+02,1.043443458423401466e+02,1.043453057937182820e+02,1.043435229414221936e+02,1.043439627806995844e+02,1.043438997879736831e+02
1.044210281844928403e+02,1.044212859550539036e+02,1.044223982703036171e+02,1.044219162250341384e+02,1.044224261971615704e+02,1.044218990444946087e+02,1.044216402192489141e+02,1.044221140001661041e+02,1.044209090516178122e+02,1.044210422619387373e+02,1.044217958921642264e+02
1.046054344971059606e+02,1.046056998581984629e+02,1.046075104403665534e+02,1.046051570785683111e+02,1.046061478990844336e+02,1.046060033048495939e+02,1.046057771332177140e+02,1.046062167292326137e+02,1.046056412553863026e+02,1.046053862272865445e+02,1.046066246486378475e+02
1.046876663197875814e+02,1.046885774303439547e+02,1.046892546937697688e+02,1.046867535147979709e+02,1.046873625784097612e+02,1.046877646496035794e+02,1.046878400637155409e+02,1.046882231530363043e+02,1.046882723918848939e+02,1.046883014730131407e+02,1.046891242850021797e+02
1.045565203247739561e+02,1.045573867230435212e+02,1.045557995291382412e+02,1.045548432979450268e+02,1.045551809541525472e+02,1.045559730848222841e+02,1.045558508270783165e+02,1.045565317242994183e+02,1.045562861808080868e+02,1.045574509340780054e+02,1.045572114774434169e+02
1.043480574694156786e+02,1.043481639500417373e+02,1.043446664265099173e+02,1.043457811811298086e+02,1.043457143279300112e+02,1.043472565494758015e+02,1.043464423540830524e+02,1.043471300094572314e+02,1.043459136349226100e+02,1.043484145051179013e+02,1.043475230313376869e+02
1.042702699775045829e+02,1.042705631195967868e+02,1.042664812991812653e+02,1.042686354838473761e+02,1.042677719133188674e+02,1.042699045453765905e+02,1.042691463405269445e+02,1.042689210501656163e+02,1.042673795540083859e+02,1.042701833681643819e+02,1.042694449297761992e+02
1.043376810523003257e+02,1.043386172564393348e+02,1.043356310460373777e+02,1.043373402682411921e+02,1.043358977207313956e+02,1.043375209060063327e+02,1.043380654186877905e+02,1.043366248458983989e+02,1.043356355221685305e+02,1.043375188047771189e+02,1.043372262615005610e+02
1.043809674015904960e+02,1.043816134323147509e+02,1.043807221711094826e+02,1.043812901939019753e+02,1.043798187606305135e+02,1.043798275582173005e+02,1.043820817632041553e+02,1.043799311996586283e+02,1.043797192099695650e+02,1.043806435443988789e+02,1.043804241641248325e+02
